Roll: 0801ME27
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 7.8, 2: 7.75, 3: 8.91, 4: 8.45, 5: 9.04, 6: 8.65, 7: 9.2, 8: 8.85}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 7.8, 2: 7.78, 3: 8.16, 4: 8.23, 5: 8.39, 6: 8.43, 7: 8.53, 8: 8.56}"
1,49,49,7.8,49,49,7.8
