Roll: 0901CS25
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 8.27, 2: 8.52, 3: 8.44, 4: 8.62, 5: 8.88, 6: 9.45, 7: 9.54, 8: 9.55}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 8.27, 2: 8.39, 3: 8.4, 4: 8.46, 5: 8.54, 6: 8.68, 7: 8.79, 8: 8.88}"
1,49,49,8.27,49,49,8.27
