Roll: 0901CS31
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 6.35, 2: 5.86, 3: 5.93, 4: 6.21, 5: 5.86, 6: 6.4, 7: 6.66, 8: 7.1}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 6.35, 2: 6.12, 3: 6.06, 4: 6.1, 5: 6.05, 6: 6.11, 7: 6.18, 8: 6.29}"
1,49,49,6.35,49,49,6.35
