Roll: 0801ME20
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 6.86, 2: 6.23, 3: 7.47, 4: 7.82, 5: 7.57, 6: 7.78, 7: 9.55, 8: 8.25}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 6.86, 2: 6.56, 3: 6.87, 4: 7.11, 5: 7.2, 6: 7.3, 7: 7.58, 8: 7.65}"
1,49,49,6.86,49,49,6.86
