Roll: 0801CS26
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 5.33, 2: 5.18, 3: 6.49, 4: 6.66, 5: 6.14, 6: 6.55, 7: 7.29, 8: 8.25}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 5.33, 2: 5.26, 3: 5.65, 4: 5.91, 5: 5.95, 6: 6.04, 7: 6.21, 8: 6.44}"
1,49,49,5.33,49,49,5.33
