Roll: 0901CS12
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 6.71, 2: 7.39, 3: 8.02, 4: 7.81, 5: 8.33, 6: 8.1, 7: 8.51, 8: 8.25}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 6.71, 2: 7.03, 3: 7.34, 4: 7.46, 5: 7.63, 6: 7.7, 7: 7.81, 8: 7.86}"
1,49,49,6.71,49,49,6.71
