Roll: 0801ME23
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 6.59, 2: 6.57, 3: 8.17, 4: 7.14, 5: 7.57, 6: 7.52, 7: 8.3, 8: 8.15}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 6.59, 2: 6.58, 3: 7.11, 4: 7.12, 5: 7.21, 6: 7.26, 7: 7.39, 8: 7.47}"
1,49,49,6.59,49,49,6.59
