Roll: 0801CS25
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 7.02, 2: 6.55, 3: 6.86, 4: 6.91, 5: 7.81, 6: 6.75, 7: 8.2, 8: 7.8}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 7.02, 2: 6.8, 3: 6.82, 4: 6.84, 5: 7.02, 6: 6.98, 7: 7.14, 8: 7.22}"
1,49,49,7.02,49,49,7.02
