Roll: 0901ME15
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 49, 2: 44, 3: 47, 4: 49, 5: 46, 6: 46, 7: 40, 8: 40}","{1: 7.0, 2: 5.82, 3: 6.36, 4: 7.0, 5: 6.91, 6: 6.3, 7: 7.1, 8: 6.95}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 49, 2: 93, 3: 140, 4: 189, 5: 235, 6: 281, 7: 321, 8: 361}","{1: 7.0, 2: 6.44, 3: 6.41, 4: 6.57, 5: 6.63, 6: 6.58, 7: 6.64, 8: 6.68}"
1,49,49,7.0,49,49,7.0
