Roll: 0801CS13
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 49, 2: 44, 3: 43, 4: 47, 5: 42, 6: 40, 7: 41, 8: 40}","{1: 7.76, 2: 7.77, 3: 8.4, 4: 8.6, 5: 8.57, 6: 7.7, 7: 8.73, 8: 8.5}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 49, 2: 93, 3: 136, 4: 183, 5: 225, 6: 265, 7: 306, 8: 346}","{1: 7.76, 2: 7.76, 3: 7.97, 4: 8.13, 5: 8.21, 6: 8.13, 7: 8.21, 8: 8.25}"
1,49,49,7.76,49,49,7.76
